time,State,Predicted Altitude,Predicted Vertical Velocity,Predicted Vertical Acceleration,Predicted Angle to Horizontal,Measured Altitude,Measured Pressure,Measured Temperature,Measured Acceleration x,Measured Acceleration y,Measured Acceleration z,Measured Rotation x,Measured Rotation y,Measured Rotation z,Measured Gravity x,Measured Gravity y,Measured Gravity z,Measured Orientation real part,Measured Orientation i part,Measured Orientation j part,Measured Orientation k part,Measured Angle to Horizontal,Controller error,Flight path,Flght path velocity partial derivative,Flght path angle partial derivative,Update rule drag area,Adjusted drag area,Requested drag area,Current drag area,Update rule shutdown,Controller saturation,Controller fault
100958,coast,679.320862,51.750221,-12.625697,1.209177,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.424744,676.939636,-4.097884,-9.251094,0.005488,0.005488,0.005488,0.002500,false,false,false
101058,coast,685.056274,50.339226,-12.468779,1.201974,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.393616,682.130066,-4.042560,-8.687400,0.005467,0.005467,0.005467,0.002500,false,false,false
101158,coast,690.643677,48.944111,-12.321559,1.194442,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.335083,689.085144,-3.961848,-8.049815,0.005421,0.005421,0.005421,0.002500,false,false,false
101258,coast,697.254761,47.262024,-12.143610,1.184769,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.320190,690.323486,-3.946250,-7.923573,0.005410,0.005410,0.005410,0.002500,false,false,false
101358,coast,700.187805,46.505001,-12.069220,1.180189,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.313171,696.941589,-3.862071,-7.209761,0.005430,0.005430,0.005430,0.002500,false,false,false
101458,coast,706.465881,44.855907,-11.925190,1.169694,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.291870,703.916260,-3.769892,-6.587104,0.005405,0.005405,0.005405,0.002500,false,false,false
101558,coast,710.892029,43.669296,-11.813190,1.161674,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.246826,708.446899,-3.708301,-6.197742,0.005319,0.005319,0.005319,0.002500,false,false,false
101658,coast,713.601074,42.933922,-11.726051,1.156486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.257263,710.634766,-3.675405,-5.983300,0.005342,0.005342,0.005342,0.002500,false,false,false
101758,coast,718.880188,41.475021,-11.611147,1.145682,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.213562,715.519653,-3.601722,-5.518783,0.005262,0.005262,0.005262,0.002500,false,false,false
101857,coast,723.466614,40.176937,-11.487243,1.135447,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.215332,720.724121,-3.514671,-5.052987,0.005287,0.005287,0.005287,0.002500,false,false,false
101958,coast,726.944519,39.174572,-11.415708,1.127122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.185242,723.281372,-3.471864,-4.854416,0.005218,0.005218,0.005218,0.002500,false,false,false
102058,coast,731.273438,37.896801,-11.304438,1.115931,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.169128,729.195312,-3.364682,-4.404731,0.005182,0.005182,0.005182,0.002500,false,false,false
102158,coast,734.552368,36.910538,-11.225632,1.106817,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.146301,731.127136,-3.328795,-4.252450,0.005121,0.005121,0.005121,0.002500,false,false,false
